#ID,Tweet,RetweetCount,CreatedDate,Query,HourOfDay,Sentiment,Date
8907,"RT @lelaniblack: ??????It's #cocktail - thirty! Splash of coconut #rum, cranberry juice and pineapple juice. Cheers *glasses clink* http://t.c…",6,11/25/2014 0:00,cocktail glasses,15,Neutral,11/25/2015 0:00
8908,"RT @lelaniblack: ??????It's #cocktail - thirty! Splash of coconut #rum, cranberry juice and pineapple juice. Cheers *glasses clink* http://t.c…",6,11/25/2014 0:00,cocktail glasses,15,Neutral,11/25/2015 0:00
8909,"RT @lelaniblack: ??????It's #cocktail - thirty! Splash of coconut #rum, cranberry juice and pineapple juice. Cheers *glasses clink* http://t.c…",6,11/25/2014 0:00,cocktail glasses,15,Neutral,11/25/2015 0:00
8910,"RT @lelaniblack: ??????It's #cocktail - thirty! Splash of coconut #rum, cranberry juice and pineapple juice. Cheers *glasses clink* http://t.c…",6,11/25/2014 0:00,cocktail glasses,15,Neutral,11/25/2015 0:00
8911,"??????It's #cocktail - thirty! Splash of coconut #rum, cranberry juice and pineapple juice. Cheers *glasses clink* http://t.co/sfwHfl8UOR",6,11/25/2014 0:00,cocktail glasses,15,Neutral,11/25/2015 0:00
8912,Her reason: she wants to try the new cocktail glasses,0,11/25/2014 0:00,cocktail glasses,13,Neutral,11/25/2015 0:00
8913,"Go to a restaurant, come back with 5 glasses and a cocktail shaker! #standard",0,11/25/2014 0:00,cocktail glasses,13,Positive,11/25/2015 0:00
8914,"RP LAB COCKTAIL SET | barware, geek gifts, cocktail glasses | UncommonGoods A Great Gadget #GiftIde http://t.co/mVlgPOt1z5",0,11/25/2014 0:00,cocktail glasses,13,Positive,11/25/2015 0:00
8915,Can't forget the Tiffany's beer mugs and the handmade cocktail glasses. ??,0,11/25/2014 0:00,cocktail glasses,12,Negative,11/25/2015 0:00
8916,"Join us for Happy Hour at the bar from 4:30 until 6:30 with all draft beers at $3, $4 select glasses of wine and $5 daily classic cocktail.",0,11/25/2014 0:00,cocktail glasses,12,Positive,11/25/2015 0:00
8917,cocktail time! #VINTAGE LUCKY CHARM DRINKING SET OF SIX SHOT GLASSES BOXED 22ct RIM MADE FRANCE http://t.co/j9fwSmdDUa via @eBay_UK,0,11/25/2014 0:00,cocktail glasses,12,Positive,11/25/2015 0:00
8918,Tonight is the last night of our COCKTAIL SALE!!! All pitchers £7.50 and glasses are only £2.50!!!! Don't miss out!!!,0,11/25/2014 0:00,cocktail glasses,12,Negative,11/25/2015 0:00
8919,Giving new meaning to the word #cocktail: Wonderful #Vintage #1950's #Rooster Cocktail shaker and glasses set http://t.co/VKmqFJxYbt,0,11/25/2014 0:00,cocktail glasses,10,Positive,11/25/2015 0:00
8920,Two Russel Wright American Modern Morgantown Smoke 3 oz Cocktail Glasses http://t.co/azGPWOlIy0,0,11/25/2014 0:00,cocktail glasses,10,Positive,11/25/2015 0:00
8921,@BetthhSmitthh hahah should've brought them cocktail glasses we had at yours ????,0,11/25/2014 0:00,cocktail glasses,9,Neutral,11/25/2015 0:00
8922,Check out Set Of 7 Mid Century Musical Instrument Cocktail Glasses/Atomic Barware/Libby http://t.co/ZuZYxmnE4U via @eBay,0,11/25/2014 0:00,cocktail glasses,7,Neutral,11/25/2015 0:00
8923,Check out the Self-Chilling Cocktail Glasses on http://t.co/Aay8WyaVFh #Decor http://t.co/8LCYlySmhe,0,11/25/2014 0:00,cocktail glasses,6,Neutral,11/25/2015 0:00
8924,I once thought mice were cute until they left small brown gifts in my cocktail glasses.,0,11/25/2014 0:00,cocktail glasses,6,Positive,11/25/2015 0:00
8925,"with half an eye on the evening cocktail reception, @pciuccarelli has just shown small multiple martini glasses... #CESS2014",0,11/25/2014 0:00,cocktail glasses,3,Positive,11/25/2015 0:00
8926,Barware to ensure all those glasses are topped up this season &amp; great gifts for wine connoisseurs &amp; cocktail lovers http://t.co/VFezvkFIkL,0,11/25/2014 0:00,cocktail glasses,3,Positive,11/25/2015 0:00
8927,Self-Chilling Cocktail Glasses http://t.co/T5QkGz0Fre via @fancy,0,11/24/2014 0:00,cocktail glasses,23,Positive,11/24/2015 0:00
8928,Self-Chilling Cocktail Glasses http://t.co/dmO0wW125w,0,11/24/2014 0:00,cocktail glasses,23,Neutral,11/24/2015 0:00
8929,Self-Chilling Cocktail Glasses http://t.co/WekS06irMr,0,11/24/2014 0:00,cocktail glasses,23,Neutral,11/24/2015 0:00
8930,Self-Chilling Cocktail Glasses http://t.co/r9MIoAVIE7,0,11/24/2014 0:00,cocktail glasses,23,Neutral,11/24/2015 0:00
8931,Self-Chilling Cocktail Glasses http://t.co/T7Qr3AaVJI,0,11/24/2014 0:00,cocktail glasses,23,Neutral,11/24/2015 0:00
8932,Self-Chilling Cocktail Glasses http://t.co/Ym201eW6PU,0,11/24/2014 0:00,cocktail glasses,23,Neutral,11/24/2015 0:00
8933,Vintage Blendo Cocktail Shaker Bar Set Roly Poly Glasses,0,11/24/2014 0:00,cocktail glasses,21,Neutral,11/24/2015 0:00
8934,@LeahMcGrathRD and drink from smaller cocktail glasses @NinjaMomAllie #eatpositive,0,11/24/2014 0:00,cocktail glasses,19,Neutral,11/24/2015 0:00
8935,Cock-a-doodle-doo! #Vintage #1950's #Rooster #Cocktail shaker and glasses set http://t.co/VKmqFJxYbt via @Etsy,0,11/24/2014 0:00,cocktail glasses,18,Positive,11/24/2015 0:00
8937,Cocktail Glasses...£9 each? #womaninbiz #womanshour #wineoclock #sparkles #citybiz http://t.co/j77XLPzTlu,0,11/24/2014 0:00,cocktail glasses,14,Neutral,11/24/2015 0:00
8938,My parents know me too well :) cocktail glasses for my Christmas :),0,11/24/2014 0:00,cocktail glasses,13,Positive,11/24/2015 0:00
8939,Hand Painted Cocktail Glasses With Blue and by ipaintitpretty http://t.co/MFG8eUQOc0 via @Etsy #handpaintedglasses #uniquechristmasgifts,0,11/24/2014 0:00,cocktail glasses,13,Neutral,11/24/2015 0:00
8940,"Join us for Happy Hour at the bar from 4:30 until 6:30 with all draft beers at $3, $4 select glasses of wine and $5 daily classic cocktail.",0,11/24/2014 0:00,cocktail glasses,12,Positive,11/24/2015 0:00
8942,#Barware #ArtGlassBar #JozefinaKrosno #BlueArtGlass #KrosnoBarware #ArtGlassBarware #CocktailGlasses http://t.co/O9zNEPqy2D via @eBay,0,11/24/2014 0:00,cocktail glasses,11,Neutral,11/24/2015 0:00
8943,@LaVeuve @parkersmuse cocktail glasses filled with stuff!,0,11/24/2014 0:00,cocktail glasses,11,Neutral,11/24/2015 0:00
8944,Mum just suggested that she could use my cocktail glasses for prawn cocktails at Christmas. I think they'll already be in use.,0,11/24/2014 0:00,cocktail glasses,10,Positive,11/24/2015 0:00
8945,"Image of woman and two men talking, holding cocktail glasses, and standing near wall with artwork displayed http://t.co/y66AuEf6xX",0,11/24/2014 0:00,cocktail glasses,10,Neutral,11/24/2015 0:00
8946,RT @GreatestStuffOE: Mermaid Tail Cocktail Glasses - http://t.co/bUxiWvIdNm http://t.co/0gl6uRnAIE,1,11/24/2014 0:00,cocktail glasses,7,Neutral,11/24/2015 0:00
8947,Everything that you need to know about cocktail glasses: http://t.co/rVguz3afQi #Cocktails #Cocktail #Glasses #Glassware #Glass,0,11/24/2014 0:00,cocktail glasses,4,Negative,11/24/2015 0:00
8948,Get ready for the last MAD MEN shows with these! Vintage GOLD Letter TUMBLERS Set/4 Cocktail Glasses http://t.co/OihCtoQdq4,0,11/24/2014 0:00,cocktail glasses,3,Positive,11/24/2015 0:00
8949,Hand Painted Cocktail Glasses With Blue and by ipaintitpretty http://t.co/MFG8eUQOc0 via @Etsy #handpaintedcocktailglasses #christmasgifts,0,11/23/2014 0:00,cocktail glasses,21,Neutral,11/23/2015 0:00
8950,Vintage Mid Century Dorothy Thorp Style Rolly Polly Silver Trimmed Cordial Cocktail Glasses set of Four ( 4 ) by ... http://t.co/Y6gwTiJUFK,0,11/23/2014 0:00,cocktail glasses,21,Positive,11/23/2015 0:00
8951,Holiday Cocktail Glasses / Christmas Cocktail by mamiezvintage http://t.co/2SVqFfkhQ4 via @Etsy,0,11/23/2014 0:00,cocktail glasses,20,Neutral,11/23/2015 0:00
8952,RT @EstateFinds4u2: Vintage Quartex Glass Star Dust Cordials Wine Cocktail Atomic Glasses https://t.co/CFGeHwtjSt http://t.co/rkX5qQj6AE,5,11/23/2014 0:00,cocktail glasses,20,Positive,11/23/2015 0:00
8953,Check out Hand Painted Men Silk Necktie Martini Cocktail Glasses Novelty Art Tie Yellow #NeckTie http://t.co/mMJJq2hrlF via @eBay,0,11/23/2014 0:00,cocktail glasses,18,Neutral,11/23/2015 0:00
8954,Cockadoddledoo! Wonderful #Vintage #1950's Rooster #Cocktail shaker and glasses set http://t.co/VKmqFJxYbt via @Etsy,0,11/23/2014 0:00,cocktail glasses,17,Positive,11/23/2015 0:00
8955,"Ah yes, it's cocktail time! Vintage Morgantown Normandie Martini Pitcher and glasses #midcentury http://t.co/d3SKLF8ZT9 via @Etsy",0,11/23/2014 0:00,cocktail glasses,16,Positive,11/23/2015 0:00
8956,http://t.co/ub5iJly2BB NFL New York Jets &amp; Giants Vintage Cocktail Glasses Roly Poly circa 1970 #Jets http://t.co/Fk9zBU4scF,0,11/23/2014 0:00,cocktail glasses,16,Positive,11/23/2015 0:00
8957,Wonderful #Vintage #1950's Rooster Cocktail shaker and glasses set http://t.co/VKmqFJxYbt via @Etsy,0,11/23/2014 0:00,cocktail glasses,15,Positive,11/23/2015 0:00
8958,@LibWig Not such an array! Though I did have a cocktail shaker + martini glasses :) #SaladDays,0,11/23/2014 0:00,cocktail glasses,15,Neutral,11/23/2015 0:00
8959,"Mint Sugar is perfect to sprinkle on fresh fruit, rim cocktail glasses, &amp; stir into tea or lemonade! http://t.co/WYreHZYo9v",0,11/23/2014 0:00,cocktail glasses,15,Positive,11/23/2015 0:00
8960,Hand Painted Cocktail Glasses With Blue and by ipaintitpretty http://t.co/MFG8eUQOc0 via @Etsy #handpaintedmartiniglasses #christmasgifts,0,11/23/2014 0:00,cocktail glasses,14,Neutral,11/23/2015 0:00
8961,RT @ScientistMcGee: Set of 6 cocktail glasses coming soon to Scientist McGee's Cocktail Glass Emporium --- https://t.co/a8RTBcNcWV @Etsy ht…,1,11/23/2014 0:00,cocktail glasses,12,Neutral,11/23/2015 0:00
8962,Set of 6 cocktail glasses coming soon to Scientist McGee's Cocktail Glass Emporium --- https://t.co/a8RTBcNcWV @Etsy http://t.co/WggxSYn9Yd,1,11/23/2014 0:00,cocktail glasses,12,Neutral,11/23/2015 0:00
8963,#1970s #retro #oldfashioned #cocktail glasses set of four .. http://t.co/4IQ7BIr8X4,0,11/23/2014 0:00,cocktail glasses,12,Neutral,11/23/2015 0:00
8964,RT @EstateFinds4u2: Vintage Quartex Glass Star Dust Cordials Wine Cocktail Atomic Glasses https://t.co/CFGeHwtjSt http://t.co/rkX5qQj6AE,5,11/23/2014 0:00,cocktail glasses,12,Positive,11/23/2015 0:00
8965,"Set of 6 handsome, stylish Old-Fashioned glasses.Coming soon to SMcG's Cocktail Glass Emporium http://t.co/VlOdZUu8fG http://t.co/7GRH05SeKb",0,11/23/2014 0:00,cocktail glasses,11,Positive,11/23/2015 0:00
8966,"Decided to where my glasses to this exhibit. .come have a cocktail, good food and see my hand painting http://t.co/wnGWVRdu60",0,11/23/2014 0:00,cocktail glasses,11,Positive,11/23/2015 0:00
